received_at,message
2026-06-01 09:12:00,"Member: DEMO-SMS-01 credited SAR 2,500.00 on 01/06/2026 Ref SMS-AUTO-01"
2026-06-02 10:05:00,"Member: DEMO-SMS-02 credited SAR 1,800.00 on 02/06/2026 Ref SMS-AUTO-02"
2026-06-03 11:20:00,"Member: DEMO-SMS-03 debited SAR 450.00 on 03/06/2026 Ref SMS-AUTO-03"
2026-06-04 08:45:00,"SNB Alert: purchase SAR 320.00 on 04/06/2026 Ref SMS-AUTO-04"
2026-06-05 14:30:00,"Member: DEMO-SMS-04 deposit SAR 990.00 on 05/06/2026 Ref SMS-AUTO-05"
2026-06-06 16:00:00,"Member: DEMO-SMS-05 withdraw SAR 175.00 on 06/06/2026 Ref SMS-AUTO-06"
2026-06-07 09:00:00,"Member: DEMO-SMS-01 credited SAR 1,200.00 on 07/06/2026 Ref SMS-AMB-01A"
2026-06-07 09:01:00,"Member: DEMO-SMS-02 credited SAR 1,200.00 on 07/06/2026 Ref SMS-AMB-01B"
2026-06-08 10:15:00,"Member: DEMO-SMS-03 debited SAR 600.00 on 08/06/2026 Ref SMS-AMB-02A"
2026-06-08 10:16:00,"Member: DEMO-SMS-04 debited SAR 600.00 on 08/06/2026 Ref SMS-AMB-02B"
2026-06-10 08:00:00,"Member: DEMO-SMS-06 credited SAR 2,000.00 on 10/06/2026 Ref SMS-1M-01A"
2026-06-10 08:01:00,"Member: DEMO-SMS-06 credited SAR 1,500.00 on 10/06/2026 Ref SMS-1M-01B"
2026-06-10 08:02:00,"Member: DEMO-SMS-06 credited SAR 1,500.00 on 10/06/2026 Ref SMS-1M-01C"
2026-06-11 09:30:00,"Member: DEMO-SMS-07 credited SAR 3,500.00 on 11/06/2026 Ref SMS-M1-01"
2026-06-12 11:00:00,"Member: DEMO-SMS-06 debited SAR 800.00 on 12/06/2026 Ref SMS-1M-02A"
2026-06-12 11:01:00,"Member: DEMO-SMS-06 debited SAR 700.00 on 12/06/2026 Ref SMS-1M-02B"
2026-06-13 15:45:00,"Member: DEMO-SMS-07 debited SAR 900.00 on 13/06/2026 Ref SMS-M1-02"
2026-06-14 12:00:00,"Member: DEMO-SMS-08 deposit SAR 2,750.00 on 14/06/2026 Ref SMS-POST-01"
2026-06-15 13:10:00,"SNB: paid SAR 890.00 on 15/06/2026 Ref SMS-POST-02"
2026-06-16 09:55:00,"Member: DEMO-SMS-08 received SAR 420.00 on 16/06/2026 Ref SMS-POST-03"
2026-06-17 00:01:00,"SNB service charge debit SAR 0.50 on 17/06/2026 Ref SMS-IGN-01"
2026-06-17 00:02:00,"Monthly statement fee debited SAR 1.25 on 17/06/2026 Ref SMS-IGN-02"
2026-06-20 10:00:00,"Member: DEMO-SMS-01 credited SAR 775.00 on 20/06/2026 Ref SMS-DATE-01"
2026-06-21 10:00:00,"Member: DEMO-SMS-02 credited SAR 665.00 on 21/06/2026 Ref SMS-DATE-02"
2026-06-22 08:30:00,"Incoming transfer credit SAR 1,100.00 on 22/06/2026 Ref SMS-OPEN-01"
2026-06-22 09:00:00,"Member: DEMO-SMS-01 credited SAR 850.00 on 22/06/2026 Ref SMS-OPEN-02"
2026-06-23 11:00:00,"Outgoing transfer debited SAR 240.00 on 23/06/2026 Ref SMS-OPEN-03"
2026-06-23 11:30:00,"Member: DEMO-SMS-02 debited SAR 510.00 on 23/06/2026 Ref SMS-OPEN-04"
2026-06-24 07:00:00,"Member: DEMO-SMS-03 received SAR 1,320.00 on 24/06/2026 Ref SMS-OPEN-05"
2026-06-24 18:00:00,"ATM deposit credit SAR 560.00 on 24/06/2026 Ref SMS-OPEN-06"
2026-06-25 12:00:00,"Utility bill paid SAR 380.00 on 25/06/2026 Ref SMS-OPEN-07"
2026-06-25 14:00:00,"Refund credited SAR 95.00 on 25/06/2026 Ref SMS-OPEN-08"
2026-06-26 09:00:00,"Internal transfer in SAR 2,200.00 on 26/06/2026 Ref SMS-OPEN-09"
2026-06-26 09:01:00,"Internal transfer out debited SAR 2,200.00 on 26/06/2026 Ref SMS-OPEN-10"
2026-06-27 08:00:00,"Member: DEMO-SMS-04 credit SAR 4,800.00 on 27/06/2026 Ref SMS-OPEN-11"
2026-06-27 17:00:00,"Member: DEMO-SMS-05 withdraw SAR 150.00 on 27/06/2026 Ref SMS-OPEN-12"
2026-06-28 10:00:00,"Member: DEMO-SMS-03 credited SAR 1,440.00 on 28/06/2026 Ref SMS-MAN-01"
2026-06-28 10:05:00,"Member: DEMO-SMS-03 credited SAR 1,440.00 on 28/06/2026 Ref SMS-MAN-02"
2026-06-29 09:00:00,"Member: DEMO-SMS-01 credited SAR 500.00 on 29/06/2026 Ref SMS-DUP-01"
2026-06-29 09:00:01,"Member: DEMO-SMS-01 credited SAR 500.00 on 29/06/2026 Ref SMS-DUP-01"
2026-06-29 10:00:00,"Unknown sender credited SAR 300.00 on 29/06/2026 Ref SMS-UNMATCH-01"
2026-06-29 11:00:00,"Member: DEMO-SMS-99 credited SAR 250.00 on 29/06/2026 Ref SMS-UNMATCH-02"
2026-06-29 12:00:00,"SNB notification: transaction completed on 29/06/2026 Ref SMS-NOAMT-01"
2026-06-30 08:00:00,"Funds transfer SAR 888.00 on 30/06/2026 Ref SMS-DEFAULT-01"
2026-06-30 09:00:00,"تم إيداع Member: DEMO-SMS-08 credited SAR 12,345.67 on 30/06/2026 Ref SMS-COMMA-01"
